Stock,Comment,Commented By,Timestamp,Translated_Text,Sentiment_Score,Sentiment_Label
Tata Chemicals,One  thing  is  clear.  Tata  Chem  holds  3  percent  in  Tata  sons.  Even  if  IPO  does  not  come  up  this  stake  will  be  factored  in  its  new  valuations.  So  at  1200  levels  there  is  normal  risk  reward.  Hence  1150  should  not  be  a  problem.,Cool Bull,2025-03-14 09:47:00,One thing is clear.  Tata Chem Holds 3 Percent in Tata Sons.  Even if iPo does not come up this stake will be factored in its new valuations.  So at 1200 levels there is normal risk reward.  Hence 1150 should be a problem.,0.7549,Positive
Tata Chemicals,will  touch  1150  till  Friday,ka8652,2025-03-14 00:47:00,Will Touch 1150 Till Friday,0.0,Neutral
Tata Chemicals,tata  chemicals  is  step  child  of   buying  by  promotors  even  below  book   like  it  will  sleep  like  kumbhkaran  for  next  6  months,shivagrwal,2025-03-13 13:05:00,Tata Chemicals This Step Child of Bing by Promoters and Billo Book Like Sleep Written Kumbhakaran for Next 6 Monthus,0.6124,Positive
Tata Chemicals,"PM  Modi  to  inaugurate  TATAS  Semiconductor  Fab  Unit  at  Dholera,  Gujarat  at  11  AM",Meeeeeeet,2025-03-13 00:32:00,"Pt Modi to Inograta then Semicander Fab Unit Dholera, Gujarat Vat 11 M",0.4588,Positive
Tata Chemicals,"All  sectors  are  correcting  which  involves  small,  mid  and  large  which  ran  too  ahead  from  it  real  valuations.  Tata  chemicals  in  the  other  consolidated  for  the  last  2.5  years.  Expecting  a  great  uptrend  in  the  next  few  trading  sessions",DMJF,2025-03-12 20:30:00,"All sectors are correcting which involves small, mid and large which ran too ahead from it real valuations.  Tata chemicals in the other consolidated for the last 2.5 years.  Expecting a great uptrend in the next few trading sessions",0.6249,Positive
Tata Chemicals,This  will  come  below  1000..  Retail  investors  please  becareful.,Girish05,2025-03-12 18:08:00,Bilo 1000 of this will .. Retail Investors Please Beckreful.,0.3182,Positive
Tata Chemicals,Because  I  ve  got  a  tip  from  a  fellow  investor  that  is  why.,vansh7740,2025-03-12 16:50:00,Bikazi Way Gota Tip from Fellow Investor,0.0,Neutral
Tata Chemicals,Chaos  was  prevalent  in  almost  all  the  sectors  and  stocks  in  the  last  2  weeks.  It  is  just  not  Tata  chemicals  which  has  taken  beating.  There  has  to  be  a  great  rebound  this  week.  Patience  and  long  term  investors  will  benefit  the  most,DMJF,2025-03-12 15:44:00,Chaos was prevalent in almost all the sectors and stocks in the last 2 weeks.  It is just not tata chemicals which has taken beating.  There has to be a great rebound this week.  Patience and long term investors will benefit the most,0.1027,Positive
Tata Chemicals,"Guys...No  need  to  Sell  even  a  Single  Share  of  Tata  Chemicals,  I  bought  huge  quantity  at  940/-  to  980/-  even  I  bought  more  in  few  quantity  at  1120/-  1260/-  but  I  will  never  Sell  it  either  down  trend,  I  am  increasing  at  every  Dip  in  few   My  Conviction  is  to  See  atleast  2500/-  and  3000/-  too.  Tata  is  Tata  Very  reputed  and  honest  Group.  I  Cant  express  how  much  Wealth  U  will  made  if  hold.  U  hv  to  bear  the  Pain  for  Some   come  down....  Its  my  Opinion,  you  can  do  your  own  research  too.  Choice  is  yours.  GD  luck.",Pdhall892,2025-03-12 14:28:00,"Guys ... no need to sell even a single share of tata chemicals, I boght huge quantity at 940/- to 980/- even I bout I bought more in less more in less quantity at 1120/- 1260/- 1260/- but i will Never Sell Never Sell ite Eiter Down Eiter Down TRED, I am Increasing at Every Dip in Few My Conviction is to see atlest 2500/- and 3000/- too.  Tata is tata very reputed and honest group.  I Cant Express how much wealth u will make if hold.  U hv to bear the pain for some come down .... Its my opinion, you can do your own research too.  Choice is yours.  GD Luck.",0.8989,Positive
Tata Chemicals,Those  holding  in  cash  could  look  at  partial  booking  out  and  wait  for  Q4  results  till  May  1st  week.  Mostly  TACHEM  may  report  a  big  fall  in  PAT  YOY  as  selling  prices  are  weak.  By  then  political  situation  also  could  be  more  clear.  Then  consider  re  entry  if  selling  prices  are  firming  up.,STAY_SAFE,2025-03-12 13:23:00,Thos Holding in Cash Book at Partial Booking Out and Wait for Q4 Results Till May 1st Week.  Mostly tachem may report a big fall in pat yoy as seling prises are weak.  By then Political Situation also could be more clear.  Then Consider Re Entry If Selling Prisis are firming up.,-0.0018,Negative
Tata Chemicals,weak  stock  rise  like  anything  and  fall  like  anything,devfacts,2025-03-12 13:21:00,Week Stock Rise Written Anating and Fall Written Aneithing,0.2732,Positive
Tata Chemicals,Why  this  raised  from  960  to  1350  is  because  of  rumor.  Why  its  coming  down  from  1350  is  also  rumor.,Sri008,2025-03-12 11:19:00,Why this rasade from 960 and 1350 this Bikos of Rumor.  Whi Its Cumming Down from 1350 is also Rumk.,0.0,Neutral
Tata Chemicals,smallcap  &  midcap  correction  has  started  and  will  last  for  1  yr  from  now  !,Moneymaker18,2025-03-12 10:54:00,Smallcap & Midcap Correction Has Started and Will Last for 1 Yer from Now!,0.0,Neutral
Tata Chemicals,Can  this  company  hold  or  sell  or  buy  shares  now?,ore,2025-03-12 10:33:00,Can This Company Hold and Selll and Buy Shares Now?,0.296,Positive
Tata Chemicals,tata  chemicals  has  not  run  much  as  conpare  to  other  stocks  but  after  a  good  news  it  is  going  down.  its  totally  traders  game.  no  control  of  SEBI  and  other  regulators  to  control  manipulation.  they  are  spreading  news  or  can  say  romuurs  and  buying  and  selling.  small  investors  get  trapped  in  these  kind  of  news.  tata  bye  bye  khatam.,lossess,2025-03-12 10:19:00,Tata Chemicals Has Not Run Much as Conpare to other stocks but after a good news it is going down.  Its totally traders game.  No control of sebi and other regulators to control manipulation.  They are spoiled news or can say Romuurs and Buying and Selling.  Small investors get trapped in these kind of news.  Tata bye bye khatam.,-0.7747,Negative
Tata Chemicals,GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH  GUYS  WAIT  FOR  850RS  LEVELS  HUGE  DOWNSIDE  CORRECTION  IS  COMING  POST  MAR  15TH,surajJNS,2025-03-12 09:54:00,Guys wait for 850rs levels huge downside correction is coming post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs LEVELS HUGE DEOWN DOWNESDED Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels LEVEGE DOWNSIDE CORRECTION is Coming Post Mar 15th Guys for 850rs Levels huge downside correction is coming post mar 15th guys wait for 850rs levels huge downside correction is coming post mar 15th guys wait for 850rs levels levels 15th Guys Wait for 850rs Levels Hugnside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside CORRECTION is Coming Post Mar 15th Guys Wait for 850rs LEVELS LEVELS LEVELS HUGE DOWNESDE Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels LEVEGE DOWNSIDE CORRECTION is Coming Post Mar 15th Guys for 850rs Levels huge downside correction is coming post mar 15th guys wait for 850rs levels huge downside correction is coming post mar 15th guys wait for 850rs levels levels 15th Guys Wait for 850rs Levels Hugnside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside CORRECTION is Coming Post Mar 15th Guys Wait for 850rs LEVELS LEVELS LEVELS HUGE DOWNESDE Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels LEVEGE DOWNSIDE CORRECTION is Coming Post Mar 15th Guys for 850rs Levels huge downside correction is coming post mar 15th guys wait for 850rs levels huge downside correction is coming post mar 15th guys wait for 850rs levels levels 15th Guys Wait for 850rs Levels Hugnside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside CORRECTION is Coming Post Mar 15th Guys Wait for 850rs LEVELS LEVELS LEVELS HUGE DOWNESDE Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels LEVEGE DOWNSIDE CORRECTION is Coming Post Mar 15th Guys for 850rs Levels huge downside correction is coming post mar 15th guys wait for 850rs levels huge downside correction is coming post mar 15th guys wait for 850rs levels levels 15th Guys Wait for 850rs Levels Hugnside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside CORRECTION is Coming Post Mar 15th Guys Wait for 850rs LEVELS LEVELS LEVELS HUGE DOWNESDE Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels LEVEGE DOWNSIDE CORRECTION is Coming Post Mar 15th Guys for 850rs Levels huge downside correction is coming post mar 15th guys wait for 850rs levels huge downside correction is coming post mar 15th guys wait for 850rs levels levels 15th Guys Wait for 850rs Levels Hugnside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside CORRECTION is Coming Post Mar 15th Guys Wait for 850rs LEVELS LEVELS LEVELS HUGE DOWNESDE Correction is Coming Post Mar 15th Guys Wait for 850rs Levels Huge Downside Correction is Coming Post Mar 15th Guys Wait for 850rs Levels LEVEGE DOWNSIDE CORRECTION is Coming Post Mar 15th Guys for 850rs Levels huge downside correction is coming post mar 15th guys wait for 850rs levels huge downside correction is coming post mar 15th guys wait for 850rs levels levels 15th guys wait for 850rs levels huge downside correction is coming post Mar 15th Guys Wait for 850rs Levels Huge Downside CORRECTION is Coming Post Mar 15th,0.9682,Positive
Tata Chemicals,"stock  down  6  %  down  as  expected,  but  stock  may  bounce  from  here",DrPravin,2025-03-12 09:43:00,"Stock down 6 % down as expected, Butt Stock May Bounce from Here",0.0,Neutral
Tata Chemicals,"Ratan  Tata  has  made  this  into  a  personal  grudge  and  fight  which  is  unacceptable  and  is  in  poor  light.  It  must  be  noted  that  Tata  Sons  belongs  to  Tata  Trusts  and  is  not  personally  owned  by  Ratan  Tata,  whereas  18  percent  stake  in  Tata  Sons  is  individually  owned  by  Shapoorji  Group.  This  is  the  big  difference.",Mrch,2025-03-12 09:18:00,"Ratan tata has made this into a personal grudge and fight which is unacceptable and is in poor light.  It must noted that tata sons belongs to tata trusts and is not personally owned by raatan tata, whereas 18 percent stake in tata sons is individually ovened by Shapoorji Group.  This is the big difference.",-0.6808,Negative
Tata Chemicals,as  per  my  knowledge  its  only  10  Rs.  FV  stock  of  Tatas.  Will  be  in  a  big  way  in  recycling  of  batteries  &  that  may  be  a  game  changer.,pyarelal,2025-03-12 09:15:00,Sas Para My Knowledge Its Only 10 Ras.  Fav Stock of Tall.  The May Bay Game Changer under Will Bay in a Big Way in Recycling of Batteries &.,0.0,Neutral
Tata Chemicals,ipo  se  value  unlock  ho  jaati..,exp_investor,2025-03-12 09:12:00,Value gets unlocked with IPO ..,0.34,Positive
Tata Chemicals,IPO  aane  se  value  badti  nahi  hai  wapas  950  aayega  jaldi,abcd123_,2025-03-12 08:50:00,Value does not increase with IPO coming back 950 will come back soon,0.34,Positive
Tata Chemicals,i  am  expecting  around  minus  5  to  7%  today  also,DrPravin,2025-03-12 08:40:00,Shri Am Exacting Around Minus 5 to 7% Today,0.0,Neutral
Tata Chemicals,"There  is  yet  no  official  statement  from  Tatas  on  the  potential  IPO  news  floating  around.  Believe  they  would  wait  for  the  right  opportunity.  910000  crs  is  just  the  initial  investment  to  set  up  the  semiconductor  facility,  there  is  a  possibility  more  funds  would  be  required.  Tatas  electronic  a  subsidiary  of  Tatas  sons  will  require  an  IPO.",DMJF,2025-03-12 06:42:00,"There is yet no official statement from tatas on the potential iPo news floating Around.  Believe they would wait for the right opportunity.  910000 CRS is just the initial investment to set up the semiconductor facility, there is a possibility more funds would be required.  Tatas electronic a subsidiary of tatas sons will require an ipo.",0.1531,Positive
